forecast_date,target,location,location_name,target_end_date,type,quantile,value
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,point,NA,133071.68938468938
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,point,NA,136128.07633107633
2020-07-05,3 wk ahead cum death,US,US,2020-07-25,point,NA,138994.53964553965
2020-07-05,4 wk ahead cum death,US,US,2020-08-01,point,NA,141695.9772079772
2020-07-05,5 wk ahead cum death,US,US,2020-08-08,point,NA,144262.55041255042
2020-07-05,6 wk ahead cum death,US,US,2020-08-15,point,NA,146712.65238465238
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.01,132253
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.025,132298
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.05,132345
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.1,132439.6
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.15,132571
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.2,132631
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.25,132675
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.3,132713
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.35,132748
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.4,132783
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.45,132823
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.5,132873
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.55,132988.30000000002
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.6,133234.59999999998
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.65,133314
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.7,133383
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.75,133467
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.8,133713
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.85,133796
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.9,133853
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.95,133917
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.975,133963
2020-07-05,1 wk ahead cum death,US,US,2020-07-11,quantile,0.99,134015
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.01,134666
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.025,134736
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.05,134809
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.1,134942
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.15,135138
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.2,135270
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.25,135357
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.3,135432
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.35,135507
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.4,135590.4
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.45,135699
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.5,135833
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.55,136057
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.6,136378
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.65,136521
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.7,136648
2020-07-05,2 wk ahead cum death,US,US,2020-07-18,quantile,0.75,136802
