forecast_date,target,location,target_end_date,type,quantile,value
2020-08-14,1 wk ahead cum death,US,2020-08-15,point,NA,168557.46653346653
2020-08-14,2 wk ahead cum death,US,2020-08-22,point,NA,176072.24338624338
2020-08-14,3 wk ahead cum death,US,2020-08-29,point,NA,183888.8851148851
2020-08-14,4 wk ahead cum death,US,2020-09-05,point,NA,192417.3213823214
2020-08-14,5 wk ahead cum death,US,2020-09-12,point,NA,201990.11529211528
2020-08-14,6 wk ahead cum death,US,2020-09-19,point,NA,212514.27265327267
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.01,164947
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.025,165041
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.05,165137
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.1,165357
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.15,167788
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.2,167942
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.25,168062
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.3,168192
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.35,168330
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.4,168484.4
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.45,168623
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.5,168750
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.55,168866
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.6,168967
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.65,169068
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.7,169180
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.75,169308.5
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.8,169461
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.85,169632
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.9,170583.4
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.95,170919
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.975,171064
2020-08-14,1 wk ahead cum death,US,2020-08-15,quantile,0.99,171207
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.01,170061
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.025,170207.65
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.05,170361
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.1,170696
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.15,174596.9
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.2,174869
2020-08-14,2 wk ahead cum death,US,2020-08-22,quantile,0.25,175096.5
